2025/02/07 - 19:08:24 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:08:24 | 401 |     1.0488ms |                 ::1 | POST    /api/login
2025/02/07 - 19:09:07 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:09:07 | 401 |     1.6153ms |                 ::1 | POST    /api/login
2025/02/07 - 19:09:25 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:09:25 | 200 |    50.0946ms |                 ::1 | POST    /api/login
2025/02/07 - 19:09:50 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:09:50 | 401 |     1.0673ms |                 ::1 | POST    /api/login
2025/02/07 - 19:10:55 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:10:55 | 401 |     1.5809ms |                 ::1 | POST    /api/login
2025/02/07 - 19:11:01 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:11:01 | 200 |    51.1255ms |                 ::1 | POST    /api/login
2025/02/07 - 19:11:07 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:11:07 | 401 |    50.2926ms |                 ::1 | POST    /api/login
2025/02/07 - 19:11:23 | 200 |      507.6µs |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:11:23 | 401 |    51.3062ms |                 ::1 | POST    /api/login
2025/02/07 - 19:11:24 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:11:24 | 401 |    50.2744ms |                 ::1 | POST    /api/login
2025/02/07 - 19:11:24 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:11:24 | 401 |    50.7149ms |                 ::1 | POST    /api/login
2025/02/07 - 19:11:24 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:11:25 | 401 |    50.9091ms |                 ::1 | POST    /api/login
2025/02/07 - 19:11:25 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:11:25 | 401 |    50.6192ms |                 ::1 | POST    /api/login
2025/02/07 - 19:11:35 | 200 |      505.9µs |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:11:35 | 401 |    50.4124ms |                 ::1 | POST    /api/login
2025/02/07 - 19:11:37 | 200 |           0s |                 ::1 | OPTIONS /api/login
